Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-August-2024,4500.00,4504.50,4453.15,4464.00,4463.870813930553054276,233214,13228,1041037168.00,106375,45.61,51.35,-36.00
22-August-2024,4564.00,4564.00,4497.35,4499.95,4522.200318529862174578,81625,8494,369124601.00,52584,64.42,66.65,-64.05
21-August-2024,4501.05,4558.80,4500.00,4551.70,4512.785468977590100624,74833,6592,337705275.00,58862,78.66,58.80,50.65
20-August-2024,4503.00,4564.75,4500.00,4522.55,4532.341373154312493026,53774,5597,243722125.00,18557,34.51,64.75,19.55
19-August-2024,4417.90,4493.00,4390.45,4489.35,4453.788889372632678827,91876,10573,409196308.00,49642,54.03,102.55,71.45
16-August-2024,4353.95,4427.90,4327.25,4416.55,4399.937995737002491291,183439,14480,807120226.00,36848,20.09,100.65,62.60
14-August-2024,4206.15,4304.20,4190.90,4291.65,4280.802060779966088430,115005,10901,492313641.00,75482,65.63,113.30,85.50
13-August-2024,4211.05,4232.85,4183.60,4195.00,4212.269833308747602891,33895,6153,142774886.00,16029,47.29,49.25,-16.05
12-August-2024,4239.80,4239.80,4188.85,4196.10,4210.713259419699341639,46631,5576,196349770.00,20804,44.61,50.95,-43.70
9-August-2024,4227.95,4251.50,4215.00,4230.05,4233.010713317059940330,169602,13351,717927083.00,24701,14.56,36.50,2.10
8-August-2024,4178.00,4231.00,4160.50,4170.90,4197.823313502684019759,65387,7067,274483073.00,27388,41.89,70.50,-7.10
7-August-2024,4220.05,4242.00,4181.00,4200.80,4203.464565836051919205,14407,2475,60559314.00,5542,38.47,61.00,-19.25
6-August-2024,4162.60,4256.00,4160.15,4170.70,4201.277610260701455715,69313,8045,291203155.00,30372,43.82,95.85,8.10
5-August-2024,4200.05,4233.45,4110.80,4155.30,4166.980414531033708705,53458,6696,222758439.00,,,122.65,-44.75
2-August-2024,4363.00,4397.40,4268.30,4283.00,4293.437263969171483622,311400,20260,1336976364.00,56643,18.19,129.10,-80.00
1-August-2024,4399.75,4419.00,4365.65,4395.75,4397.297286554666384016,75476,5654,331890410.00,50551,66.98,53.35,-4.00
31-July-2024,4363.95,4414.40,4348.30,4384.65,4389.022920186455513261,49127,5334,215619529.00,30477,62.04,66.10,20.70
30-July-2024,4381.25,4397.95,4327.50,4364.25,4356.830476190476190476,32025,4929,139527496.00,13311,41.56,70.45,-17.00
29-July-2024,4421.85,4431.25,4370.80,4380.20,4391.223405708043151713,65907,9441,289412361.00,42046,63.80,60.45,-41.65
26-July-2024,4331.05,4421.50,4331.05,4387.95,4390.363472184632039957,406430,24635,1784375426.00,128313,31.57,90.45,56.90
25-July-2024,4296.95,4343.95,4276.50,4322.90,4321.500578987999157835,56996,5753,246308247.00,27022,47.41,67.45,25.95
24-July-2024,4281.05,4339.00,4277.25,4306.20,4306.948001311487031342,112849,11734,486034775.00,77218,68.43,61.75,25.15
23-July-2024,4298.95,4360.00,4265.55,4302.50,4302.111690438229844443,69621,8422,299517318.00,33805,48.56,94.45,3.55
22-July-2024,4295.05,4318.00,4265.00,4286.20,4289.611109261047653934,90087,8841,386438196.00,62874,69.79,53.00,-8.85
19-July-2024,4314.30,4360.25,4286.15,4302.75,4312.066310915141569899,239493,18804,1032709697.00,37163,15.52,74.10,-11.55
18-July-2024,4159.95,4324.30,4159.95,4314.30,4275.688959634666657468,289927,16239,1239637673.00,182980,63.11,164.35,154.35
16-July-2024,4180.00,4193.35,4144.65,4175.35,4170.449532358118634249,177807,8054,741535120.00,152015,85.49,48.70,-4.65
